Designator,Mid X,Mid Y,Layer,Rotation
C1,138.94,-148.90,T,0.00
C2,138.94,-146.90,T,0.00
C3,145.94,-148.90,T,0.00
C4,145.94,-146.90,T,0.00
D17,109.30,-117.00,T,270.00
D18,112.00,-117.00,T,270.00
D19,115.00,-117.00,T,270.00
D20,118.00,-117.00,T,270.00
D21,134.00,-117.00,T,270.00
D22,137.00,-117.00,T,270.00
D23,128.00,-117.00,T,270.00
D24,131.00,-117.00,T,270.00
D25,140.94,-153.20,T,270.00
D26,147.94,-152.90,T,270.00
D27,150.94,-144.90,T,180.00
D28,142.94,-144.90,T,180.00
FB1,137.94,-152.90,T,270.00
FB2,144.94,-152.90,T,270.00
FB3,157.00,-138.00,T,180.00
FB4,157.00,-141.00,T,0.00
J1,97.00,-161.75,T,90.00
J2,82.38,-135.06,T,270.00
J3,82.38,-108.00,T,270.00
J4,99.19,-92.93,T,180.00
J5,117.19,-92.93,T,180.00
J6,153.19,-92.93,T,180.00
J7,135.19,-92.93,T,180.00
J8,161.00,-117.38,T,0.00
J9,161.00,-137.92,T,0.00
Q1,88.65,-100.24,T,90.00
Q2,96.65,-100.24,T,90.00
Q3,106.60,-100.24,T,90.00
Q4,114.50,-100.24,T,90.00
Q5,108.30,-125.78,T,90.00
Q6,112.00,-125.78,T,90.00
Q7,115.50,-125.78,T,90.00
Q8,119.50,-125.78,T,90.00
Q9,135.45,-125.78,T,90.00
Q10,139.00,-125.78,T,90.00
Q11,128.00,-125.78,T,90.00
Q12,131.80,-125.78,T,90.00
Q13,142.53,-99.86,T,90.00
Q14,150.20,-99.74,T,90.00
Q15,124.75,-99.96,T,90.00
Q16,132.45,-99.96,T,90.00
R1,86.30,-136.00,T,270.00
R2,87.90,-136.00,T,270.00
R3,89.50,-136.00,T,270.00
R4,91.10,-136.00,T,270.00
R5,101.45,-143.98,T,180.00
R6,101.45,-146.49,T,180.00
R7,101.45,-149.00,T,180.00
R8,101.45,-151.51,T,180.00
R9,88.98,-110.83,T,270.00
R10,91.49,-110.83,T,270.00
R11,94.00,-110.83,T,270.00
R12,96.51,-110.83,T,270.00
R13,106.02,-137.18,T,90.00
R14,103.51,-137.18,T,90.00
R15,101.00,-137.18,T,90.00
R16,98.49,-137.18,T,90.00
R17,91.30,-100.39,T,270.00
R18,99.55,-100.44,T,270.00
R19,109.20,-100.54,T,270.00
R20,117.20,-100.59,T,270.00
R21,109.30,-120.47,T,90.00
R22,107.52,-130.18,T,90.00
R23,112.00,-120.47,T,90.00
R24,111.02,-130.18,T,90.00
R25,115.00,-120.47,T,90.00
R26,114.52,-130.18,T,90.00
R27,118.00,-120.47,T,90.00
R28,118.50,-130.18,T,90.00
R29,134.00,-120.47,T,90.00
R30,134.45,-130.18,T,90.00
R31,137.00,-120.47,T,90.00
R32,138.00,-130.18,T,90.00
R33,128.00,-120.47,T,90.00
R34,127.00,-130.18,T,90.00
R35,131.00,-120.47,T,90.00
R36,130.80,-130.18,T,90.00
R37,145.12,-100.20,T,270.00
R38,152.95,-100.05,T,270.00
R39,127.40,-100.33,T,270.00
R40,135.10,-100.21,T,270.00
R41,156.82,-119.54,T,180.00
R42,156.82,-122.54,T,180.00
R43,156.82,-125.54,T,180.00
R44,156.82,-128.54,T,180.00
R45,146.94,-144.86,T,0.00
R46,157.00,-145.00,T,180.00
R47,157.00,-148.45,T,180.00
R48,139.80,-144.86,T,0.00
U1,93.00,-148.00,T,0.00
U2,93.00,-120.00,T,0.00
U3,114.02,-110.30,T,90.00
U4,132.80,-110.20,T,90.00
U5,151.82,-125.54,T,0.00
U6,155.95,-153.65,T,270.00
